postcode_district,property_type,num_transactions
BR1,Flat,10083
BR2,Flat,9121
BR3,Flat,15422
BR4,Flat,1703
BR5,Flat,3350
BR6,Flat,3324
BR7,Flat,3009
BR8,Flat,1496
CR0,Flat,29497
CR2,Flat,9933
CR3,Flat,6682
CR4,Flat,9675
CR5,Flat,2392
CR6,Flat,1567
CR7,Flat,5578
CR8,Flat,5700
DA1,Flat,9099
DA10,Flat,1248
DA11,Flat,4679
DA12,Flat,3288
DA13,Flat,154
DA14,Flat,5399
DA15,Flat,2813
DA16,Flat,2209
DA17,Flat,3977
DA18,Flat,203
DA2,Flat,2451
DA3,Flat,426
DA5,Flat,1331
DA7,Flat,3001
DA8,Flat,5355
E1,Flat,21426
E10,Flat,8734
E11,Flat,11319
E12,Flat,3093
E13,Flat,4438
E14,Flat,52968
E15,Flat,10143
E16,Flat,17827
E17,Flat,21420
E18,Flat,5834
E2,Flat,14236
E3,Flat,20803
E4,Flat,8718
E5,Flat,9597
E6,Flat,6822
E7,Flat,4326
E8,Flat,11110
E9,Flat,8056
EC1V,Flat,7102
EN1,Flat,8704
EN10,Flat,3488
EN11,Flat,4085
EN2,Flat,7921
EN3,Flat,9127
EN4,Flat,5019
EN5,Flat,7932
EN6,Flat,3485
EN7,Flat,970
EN8,Flat,6976
EN9,Flat,3540
HA0,Flat,7412
HA1,Flat,11406
HA2,Flat,7089
HA3,Flat,6318
HA4,Flat,6600
HA5,Flat,6617
HA6,Flat,3987
HA7,Flat,5099
HA8,Flat,7302
HA9,Flat,7863
IG1,Flat,7883
IG10,Flat,4794
IG11,Flat,9425
IG2,Flat,3215
IG3,Flat,2985
IG4,Flat,636
IG5,Flat,1333
IG6,Flat,2944
IG7,Flat,2262
IG8,Flat,5380
KT1,Flat,7143
KT10,Flat,2512
KT11,Flat,1346
KT12,Flat,6540
KT13,Flat,6451
KT14,Flat,2317
KT15,Flat,4583
KT16,Flat,3493
KT17,Flat,4337
KT19,Flat,4661
KT2,Flat,8825
KT20,Flat,2345
KT21,Flat,1341
KT22,Flat,4361
KT23,Flat,791
KT3,Flat,4577
KT4,Flat,3604
KT5,Flat,3944
KT6,Flat,12442
KT7,Flat,1679
KT8,Flat,2687
KT9,Flat,2382
N1,Flat,28838
N10,Flat,8079
N11,Flat,6265
N12,Flat,7157
N13,Flat,5752
N14,Flat,4984
N15,Flat,6074
N16,Flat,14334
N17,Flat,8630
N18,Flat,2875
N19,Flat,8346
N2,Flat,5868
N20,Flat,3942
N21,Flat,4927
N22,Flat,8032
N3,Flat,6719
N4,Flat,16729
N5,Flat,9295
N6,Flat,7788
N7,Flat,14259
N8,Flat,13969
N9,Flat,6509
NW1,Flat,17682
NW10,Flat,16362
NW11,Flat,5407
NW2,Flat,15410
NW3,Flat,23039
NW4,Flat,7505
NW5,Flat,7322
NW6,Flat,26581
NW7,Flat,5923
NW8,Flat,14761
NW9,Flat,15789
RM1,Flat,5511
RM10,Flat,3398
RM11,Flat,3068
RM12,Flat,2888
RM13,Flat,2481
RM14,Flat,2208
RM15,Flat,2894
RM16,Flat,4623
RM17,Flat,6518
RM18,Flat,1868
RM2,Flat,2655
RM3,Flat,3950
RM5,Flat,1115
RM6,Flat,4831
RM7,Flat,4364
RM8,Flat,2441
RM9,Flat,1259
SE1,Flat,34345
SE10,Flat,14766
SE11,Flat,5593
SE12,Flat,5253
SE13,Flat,15210
SE14,Flat,7365
SE15,Flat,12312
SE16,Flat,19970
SE17,Flat,7243
SE18,Flat,15114
SE19,Flat,12006
SE2,Flat,1982
SE20,Flat,8701
SE21,Flat,3514
SE22,Flat,9284
SE23,Flat,10740
SE24,Flat,4969
SE25,Flat,10256
SE26,Flat,9599
SE27,Flat,5385
SE28,Flat,5040
SE3,Flat,10480
SE4,Flat,7048
SE5,Flat,12194
SE6,Flat,10240
SE7,Flat,3174
SE8,Flat,9339
SE9,Flat,7270
SM1,Flat,10655
SM2,Flat,11503
SM3,Flat,2729
SM4,Flat,3836
SM5,Flat,5084
SM6,Flat,9481
SM7,Flat,2504
SW10,Flat,10445
SW11,Flat,37010
SW12,Flat,13785
SW13,Flat,3615
SW14,Flat,4071
SW15,Flat,23814
SW16,Flat,22367
SW17,Flat,20652
SW18,Flat,29738
SW19,Flat,26016
SW2,Flat,18470
SW20,Flat,7363
SW3,Flat,12871
SW4,Flat,16509
SW5,Flat,9516
SW6,Flat,26405
SW8,Flat,15780
SW9,Flat,12205
TW1,Flat,9884
TW10,Flat,5568
TW11,Flat,7172
TW12,Flat,3833
TW13,Flat,5831
TW14,Flat,3052
TW15,Flat,4248
TW16,Flat,3249
TW17,Flat,1701
TW18,Flat,5259
TW19,Flat,2057
TW2,Flat,4029
TW20,Flat,2567
TW3,Flat,5779
TW4,Flat,2230
TW5,Flat,1970
TW7,Flat,7622
TW8,Flat,8440
TW9,Flat,7089
UB1,Flat,2468
UB10,Flat,3946
UB2,Flat,3479
UB3,Flat,6563
UB4,Flat,3990
UB5,Flat,7503
UB6,Flat,4986
UB7,Flat,6072
UB8,Flat,6114
UB9,Flat,2082
W10,Flat,6275
W11,Flat,10377
W12,Flat,11246
W13,Flat,7035
W14,Flat,18456
W2,Flat,27739
W3,Flat,15098
W4,Flat,14360
W5,Flat,14719
W6,Flat,11677
W7,Flat,4631
W8,Flat,10007
W9,Flat,19461
WD17,Flat,4916
WD18,Flat,7082
WD19,Flat,2428
WD23,Flat,4841
WD24,Flat,4501
WD25,Flat,4249
WD3,Flat,5052
WD4,Flat,1570
WD5,Flat,1340
WD6,Flat,5554
WD7,Flat,1264
